Okay Yokuşlu,Okay Yokuslu
Unai Vencedor Paris,Unai Vencedor
Luis Javier Suárez,Luis Suárez
Yan Brice Eteki,Yan Eteki
Rober,Rober Pier
Mickael Malsa,Mickaël Malsa
Emerson,Emerson Royal
Rodrigo,Rodri
Daniel Martín,Dani Martín
Daniel Parejo,Dani Parejo
Fernando Niño,Fer Niño
Yeremi Pino,Yeremy
Alejandro Baena,Álex Baena
Joseba Zaldúa,Joseba Zaldua
Nemanja Maksimović,Nemanja Maksimovic
Sofian Chakla,Soufiane Chakla
Jens Jønsson,Jens Jönsson
Isaac Carcelen,Iza Carcelén
Cala,Juan Cala
Salvi,Salvi Sánchez
Anthony Lozano,Choco Lozano
Marcos Mauro López Gutiérrez,Marcos Mauro
Filip Malbašić,Filip Malbasic
Oier Sanjurjo,Oier
Juan Cruz Armada,Juan Cruz
Manuel Sánchez,Manu Sánchez
José Luis Gayà,José Gayà
Uroš Račić,Uros Racic
Lee Kangin,Kang-in Lee
Néstor Araujo,Néstor Araújo
Rober Correa,Roberto Correa
Damian Kądzior,Damian Kadzior
Tomás Pina Isla,Tomás Pina
Édgar Méndez,Edgar Méndez
Jota,Jota Peleteiro
Martin Agirregabiria,Martín Aguirregabiria
Marko Dmitrović,Marko Dmitrovic
Kike,Kike García
Alejandro Pozo Pozo,Alejandro Pozo
Papakouli Diop,Pape Diop
Bryan,Bryan Gil
Yoshinori Mutō,Yoshinori Muto
Édgar Badía,Edgar Badia
Juan Sánchez Miño,No está
Cifu,Miguel Cifuentes
Dimitris Siovas,Dimitrios Siovas
Javier Ontiveros,Javi Ontiveros
Pedro López Muñoz,Pedro López
Maranhão,Marcos André
Míchel,Míchel Herrero
Junior Firpo,Júnior Firpo
Francisco Trincão,Trincão
Iñaki,Iñaki Peña
Óscar Rodríguez Arnaiz,Óscar
Yassine Bounou,Bono
Fernando,Fernando Reges
Dani Carvajal,Daniel Carvajal
Mariano,Mariano Díaz
Nikola Vukčević,Nikola Vukcevic
Ivan Rakitić,Ivan Rakitic
Luka Modrić,Luka Modric
Vinicius Júnior,Vinícius Júnior
Nacho,Nacho Martínez,Valladolid
Nacho,Nacho Fernández,Real Madrid
Stefan Savić,Stefan Savic
Šime Vrsaljko,Sime Vrsaljko
Ivo Grbić,Ivo Grbic
Konrad De La Fuente,Konrad de la Fuente
Tomáš Vaclík,Tomas Vaclík
Javier Díaz,Javi Díaz
Gerónimo Rulli,Gero Rulli
José Sánchez,Pepe Sánchez
Cristian,Cristian Rivero
Francisco Reis Ferreira,Ferro
Alejandro Blanco,Álex Blanco
Rubén,Rubén Martínez
Darko Brašanac,Darko Brasanac
Ivan Šaponjić,Ivan Saponjic
Xabier Etxeita,Xabi Etxeita
Mathías Olivera,Mathí­as Olivera
John Patrick,John Joe Patrick Finn
Yoel,Yoel Rodríguez
Quique,Quique González
Raúl García,Raúl Carnero
Juan Carlos,Juan Carlos Real
